#Parameters = {Gndy=18; Inset=2; L=4; L1=21.5; L2=11; L3=9; y_p=2; Mesh Pass=6}
#"Frequency / GHz"	"S1,1 (18) [Magnitude]"
#-----------------------------------------
1.9479999542236	-0.69137910946625
1.9539999961853	-0.70979308754072
1.9600000381470	-0.72499466079765
1.9659999608994	-0.73684089845471
1.9720000028610	-0.74531910233443
1.9780000448227	-0.75055629698061
1.9839999675751	-0.75280890091916
1.9900000095367	-0.75245958512548
1.9960000514984	-0.74999967459652
2.0020000934601	-0.74601165402033
2.0079998970032	-0.74114865776235
2.0139999389648	-0.73611730654781
2.0199999809265	-0.73164593384218
2.0260000228882	-0.72847552475537
2.0320000648499	-0.72732365099532
2.0380001068115	-0.72887688870958
2.0439999103546	-0.73376790181534
2.0499999523163	-0.74255927975423
2.0559999942780	-0.75573164240327
2.0620000362396	-0.77367002302330
2.0680000782013	-0.79665445443424
2.0739998817444	-0.82485367745678
2.0799999237061	-0.85831417218800
2.0859999656677	-0.89696147663420
